Dr. L. Natarajan,Practical Auditing,Margam Publications,2017,264,150
V. S. Raman,Auditing,United Publishers,2011,630,350
"Pradeep Kumar, Baldev Sacheleva & Jagwant Singh",Practical Auditing,Kalyani Publications,2012,230,120
"Dr. B Gopakumar, Preetha Pillai, T.R Muthumon& Sunil Chandran",Auditing,Shobha Publications,2015,192,120
M M Abraham,Practical Auditing,Prakash Publications,2017,232,130
"Dr. K.G.C Nair, Dr. Jayan & Dr. Suman Alexander",Practical Auditing,Chand Publications,,5.26,120
"Dr. Gopakumar, Sunil S pillai & Muthumon",Auditing,Shobha Publications,2015,192,126
Dr. B.N Tandon& Dr.S. Sudarchan & Sundhara,A Handbook of Practical Auditing,S.Chand,2018,653,450
Dr. B.N Tandon& Dr.S. Sudarchan & S Sundharabahu,A Handbook of Practical Auditing,S.Chand,2018,653,450
Dr. L Natarajan,Practical Auditing,Margam Publications,2018,,170
S. Vengadamani,Practical Auditing,Margam Publications,2017,,160
Pankaj Kumar Roy,Auditing,Oxford Higher Education,2017,303,325
S K Basu,Auditing Principles & Techniques,Pearson,2006,616,589