"Joy A Palmer, Liora Bresler & David E Cooper",Fifty Great Modern Thinkers on Education ,Fundation Books,2004,290
Phil Race ,500 Tips on Group Learning ,Crest Publishing House ,2004,135
Ali Ashraf & L N Sharma ,Political Sociology ,Universities Press ,2001,200
Mary Bragg ,Reinventing Influence ,MacMillan,1999,255
A.P.J Abdul Kalam & A Shivathanu Pillai,Envisipning an empowered Nation,Tata McGraw-Hill Publishing Co Ltd ,2004,255
Ray Moynihan & Alan Cassels ,Selling Sickness,Alan & Unwin Viva Books Pvt. Lts,2008,254
"Marilyn Andrewson, Promod K Nair & Maducchandra Sen ","Citical Thinking, Academic Writing & Presentation Skill",Mahatma Gandhi University & Pearson ,2014,178
Jacqueline P Leighton & Robert J Sternber,The Nature of Reasoning ,Cambridge University Press ,2004,470
Dawn E Reno ,The Unofficial Guide to Managing Time ,IDG Books India  (P) Ltd,2000,440
Daniel Jones ,Cambridge English Pronouncing Dictionory ,Cambridge University Press ,2011,580
Dr. Sadasivan,Perspectives in Literature ,Foundation Books,2014,121
"Catherine Soanes , Alan Spooner & Sara Hawker",Oxford Dictionory Thresaurus &word Power Guide ,Oxford University Press,2004,1111
Ian Mackenzie ,English For Business studies ,Cambridge University Press ,2002,157
Ian Mackenzie ,English For Business studies ,Cambridge University Press ,1998,176
Adrian Doff & Christopher Jones ,Language in Use ,Cambridge University Press ,2004,128
Adrian Doff & Christopher Jones ,Language in Use ,Cambridge University Press ,2004,144
Michael Agnes,Webstars New World College Dictionary ,Willey Dreamtech India Pvt Ltd ,2004,1716
K Suresh ,Business Process Outsourcing ,ICFAI University Press ,2003,192
K Suresh ,Business Process Outsourcing ,ICFAI University Press ,2004,179
Angel Cabrera & Gregory ,Being Global ,Harward Business Publishing ,2012,478
Dr.Antony Thomas& Dr.Tiya Mathews.,Dimension&Methodology of Business Studies,Pratibha Publication,2010,256
G.Balachandran,Methodology&Perspectives of Busuness studies,Ane Books Pvt. Ltd.,2010,278
Dr.Martin Patrick&Prof.Varghese Abraham,Methodology&Perspectives of Busuness studies,Pratibha Publication,2015,240
D.Janardhanan.M.A,Prespectives in Literature,Learners Digital Press &Publishers,,32
Lessa Sadasivan,Prespectives in Literature,Cambridge University Press ,2015,121
Dr.Mathew Joseph,line Tune your English,Orient Black Swan Pvt. Ltd.,2017,229
Prof.T.t.Kuriakose/ Prof.T.R.S.Iyer&Prof.George Cherian,Communication skills in English,Chorus PublicationsPvt.Ltd.,2008,208
Prof.George Cherian/Prof.T.Jose&Shijna P.A.,Issues That Matter,Chorus PublicationsPvt.Ltd.,2017,224
A..P.J.Abdul Kalam,Turnig points.,Harper Collins Publications India,2012,174