K ASWATHAPPA,ORGANISATIONAL BEHAVIOUR,HIMALAYA PUBLISHING HOUSE,2003,591,250
K ASWATHAPPA,ORGANISATIONAL BEHAVIOUR,HIMALAYA PUBLISHING HOUSE,2003,587,250
L M PRAKASH,ORGANISATIONAL BEHAVIOUR,SULTAN CHAND & SONS,2001,672,150
FRED LUTHANS,ORGANISATIONAL BEHAVIOUR,MC GRAW HILL,2002,644,-
"JON L PIERCE,DONALD G GARDENER & RONDALL B DUNHAM",MANAGEMENT,THOMSON-SOUTH-WESTERN,2007,703,-
"PAUL HERSEY,KENNETH H BLANCHARD & DEWEY E JOHNSON",MANAGEMENT OF ORGANISATIONAL  BEHAVIOUR,PRENTICE HALL OF INDIA PVT.LTD,2002,516,195
UDAI PAREEIL,UNDERSTANDING ORGANISATIONAL BEHAVIOUR,OXFORD UNIVERSITY PRESS,2004,548,235
FRED LUTHANS,ORGANISATIONAL BEHAVIOUR,MC GRAW HILL,2002,644,
R S DWIVEDI,HUMAN RELATIONS & ORGANIZATIONAL BEHAVIOUR,MAC MILLIAN,2001,909,298
FRED LUTHANS,ORGANIZATIONAL BEHAVIOUR,IRWIN MC GRAW HILL,1998,667,-
J S CHANDAN,ORGANIZATIONAL BEHAVIOUR,VIKAS PUBLISHING HOUSE,2013,234,-
SV S KHANKA,ORGANIZATIONAL BEHAVIOUR,S CHAND & CO.LTD,2000,291,150
STEPHEN P ROBBINS,ORGANIZATIONAL BEHAVIOUR,PRENTICE HALL OF INDIA PVT.LTD,2002,643,350
DR. R K SHARMA & SHASHI K GUPTA,MANAGEMENT PROCESS OF ORGANIZATIONAL BEHAVIOUR,KALYANI PUBLICATIONS,2009,521,225
THOMAS G CUMMINGS & CHRISTOPHER G WORLEY,ORGANIZATION DEVELOPMENT & CHANGE,THOMSON,2007,694,-
K ASWATHAPPA,ORGANISATIONAL BEHAVIOUR,HIMALAYA PUBLISHING HOUSE,2007,676,360
SIOCUM HELLRIEGER,FUNDAMENTALS OF ORGANIZATIONAL BEHAVIOUR,THOMSON,2007,478,-
BPP LEARNING MEDIA,ORGANISATIONS & BEHAVIOUR,VIVA BOOKS,2004,250,245
"JS CHANDRAN,P J AQUINAS,DR.NIDHI MATHUR & DR.YERRAM RAJU",MANAGING ORGANISATIONAL CHANGE & DEVELOPMENT,VIKAS PUBLISHING HOUSE PVT. LTD,2013,249,-